Lab No,Crop 2023,Planting Method,Tillage,Soil Type,Cover Crop,Crop_Diversity,Grazing,Fertilization,Lime,Longtitude,Latitude,Field,Sample_ID,Season,Date_Rept,B_Depth,E_Depth,pH,Buffer_pH,Salts,Excess_Lime,OM%,AA_K,M3_S,DTPA_Zn,M3_Fe,DTPA_Mn,DTPA_Cu,AA_Ca,AA_Mg,AA_Na,CEC,%Hsat,%Ksat,%Casat,%Mgsat,%Nasat,M3_P,NO3_N_H2O,OC_H2O_mg/kg,ON_H2O_mg/kg,CN_H2O,,Aggstab1_2mm,BulkAgStab1_2mm,NH4_N_H2O,CO2_24hr,WSA_Mod,N_H2O,SoilHealth,%MAC,ON_release_ppm,ON_reserve_ppm,H3A_NO3,H3A_NH4,H3A_IN,H3A_P,H3A_IP,H3A_OP,H3A_ICAPK,H3A_ICAPCa,H3A_ICAPAl,H3A_ICAPFe,H3A_ICAPS,H3A_ICAPZn,H3A_ICAPMn,H3ACu,H3A_ICAPMg,H3A_ICAPNa,Biomass,Diversity_Index,Bacteria%,TotalBacteriabiomass,Actinomycetes%,Actinomycetes_Biomass,Gram_neg%,Gram_neg_biomass,Rhizobia%,Rhizobia_Biomass,TotalFungi%,Total_Fungi_Biomass,Arbuscular_Myc%,Arbuscular_Myc_biomass,Saprophytic%,Saprophytes_Biomass,Protozoan%,Protozoa_biomasss,gram_pos_biomass,gram_pos%,Undifferentiated%,UndifferentiatedBiomass,Fungi_Bacteria,Predator_Prey,Grampos_Gramneg,Sat_Unsat,Mono_Poly,Pre161w7ccy170,Pre181w7ccy190,2N KCl NO3-N ppm N,KCl NH4-N ppm,% Sand,% Silt,% Clay,Texture,Ace Protein g/Kg
247944,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7532,39.5099,E2,E2_B ,Fall,11/27/2023,0,8,5.2,6,0.17,NONE,4.5,121,5.7,1.54,75.4,20.2,0.85,1811,307,9,22.4,47,1,40,11,0,33,8.59,121,10.9,11.1,,54,24,0.01,103.8,68,19.5,13.8,86.1,10.9,0,15.2,2.5,,17,4.9,12.1,79,515,141,77,7,0.88,7.8,0.12,110,17,2122.75,1.549,46.66,990.43,10.42,221.19,14.07,298.57,0.71,14.99,10.19,216.39,2.34,49.67,7.85,166.72,1.23,26.06,691.86,32.59,41.92,889.86,0.2185,0.0263,2.3172,2.3158,13.5834,2.102,0.637,,,4,54,42,Silty Clay,
247945,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7517,39.5099,E2,E2_C ,Fall,11/27/2023,0,8,5.1,5.8,0.17,NONE,4.2,127,6.4,0.69,70,23.1,0.91,2007,359,10,25.2,47,1,40,12,0,22,8.08,127,12.2,10.41,,58,22,0.3,107.8,74,20.6,14.37,84.9,12.2,0,12.8,5.3,,14,3.4,10.6,63,481,129,72,6.2,0.73,8.4,0.13,110,17,2406.57,1.433,47.55,1144.36,10.47,251.91,13.6,327.25,0,0,10.78,259.55,2.86,68.88,7.92,190.67,0,0,817.11,33.95,41.66,1002.66,0.2268,ALL PREY,2.4969,2.3626,20.3685,2.0934,0.5614,,,4,50,46,Silty Clay,
247946,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7528,39.5087,E2,E2_D ,Fall,11/27/2023,0,8,5.3,6,0.16,NONE,4.6,108,6,1.99,80.1,17.5,0.82,1996,294,9,22.3,43,1,45,11,0,30,8.37,135,11.6,11.64,,50,21,0.6,140.6,65,20.5,16.86,104.3,11.6,0,13.1,2.7,,15,3.5,11.5,75,578,120,75,6.7,0.96,6.7,0.13,108,15,1969.77,1.44,48.07,946.91,10.9,214.65,14.24,280.51,0,0,10.6,208.83,3.01,59.34,7.59,149.49,0,0,666.4,33.83,41.33,814.03,0.2205,ALL PREY,2.3757,2.3014,35.3708,2.1378,0.5948,,,6,52,42,Silty Clay,
247947,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7517,39.5087,E2,E2_E ,Fall,11/27/2023,0,8,5.2,6,0.19,NONE,4.3,151,6.2,1.7,72.8,17,0.94,2129,309,9,24,43,2,44,11,0,33,10.1,138,12.4,11.13,,50,19,1.5,107.8,65,23.9,14.61,78.2,12.4,0,15.6,2.2,,19,6.5,12.5,61,554,133,76,6.6,0.88,6.5,0.09,103,17,2021.19,1.488,47.52,960.51,11.14,225.08,13.75,277.94,0,0,11.74,237.3,2.84,57.32,8.9,179.98,0.51,10.28,682.57,33.77,40.23,813.1,0.2471,0.0107,2.4558,2.2337,29.6711,1.9885,0.6552,,,10,50,40,Silty Clay,
247948,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7528,39.5076,E2,E2_F ,Fall,11/27/2023,0,8,5.6,6.4,0.15,NONE,4.2,113,5.2,0.96,53.2,10.8,0.73,2373,377,19,21.8,29,1,54,14,0,18,6.2,148,12.6,11.75,,50,0,0.01,116.1,72,18.8,15.46,78.5,12.6,0,11.7,2.4,,13,3.8,9.2,47,540,137,65,5.9,0.55,3.9,0.12,107,24,1677.76,1.392,47.57,798.07,11.2,187.89,12.06,202.36,0,0,8.84,148.26,2.19,36.82,6.64,111.44,0,0,595.71,35.51,43.6,731.43,0.1858,ALL PREY,2.9439,2.6348,20.7809,1.8587,0.5637,,,12,44,44,Silty Clay,
247949,Soybeans,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7516,39.5076,E2,E2_G ,Fall,11/27/2023,0,8,5.3,6,0.16,NONE,4.4,110,6.3,1.2,76.8,17.3,0.94,2067,280,8,22.6,43,1,46,10,0,34,6.8,140,14.7,9.52,,50,27,0.01,99,62,21.5,14.19,70.7,14.7,0,13.4,2.7,,23,9.3,13.7,66,607,127,75,8.5,0.97,6.3,0.17,104,26,2076.34,1.439,46.16,958.34,11.3,234.67,12.76,264.99,0,0,10.08,209.26,2.74,56.94,7.34,152.32,0,0,693.36,33.39,43.77,908.73,0.2184,ALL PREY,2.6166,2.4099,29.3737,1.897,0.5679,,,8,52,40,Silty Clay,
247950,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5098,E3,E3_A ,Fall,11/27/2023,0,8,5.7,6.4,0.16,NONE,4.3,134,6.5,0.97,49.4,10,0.81,2440,457,13,22,25,2,55,17,0,24,4.15,168,13.4,12.54,,59,20,0.01,129.3,76,17.6,16.91,77,13.4,0,8.7,2.6,,21,7.2,13.8,57,589,167,75,8,0.82,4.6,0.31,134,21,2644.08,1.506,50.09,1324.47,12.01,317.58,11.74,310.51,0,0,12.61,333.34,3.09,81.71,9.52,251.63,1.47,38.81,1013.96,38.35,35.83,947.47,0.2517,0.0293,3.2655,2.119,14.7447,2.0775,0.5928,,,2,48,50,Silty Clay,
247951,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7554,39.5099,E3,E3_B ,Fall,11/27/2023,0,8,5.3,6.2,0.16,NONE,4.1,94,5.9,1.41,66.3,14.2,0.89,1949,336,20,21,39,1,46,13,0,20,10.7,139,15.5,8.97,,38,1,0.01,108.8,57,26.2,15.01,78.6,15.5,0,17.2,2.8,,15,4.6,10.4,51,539,133,70,6.7,0.83,5.9,0.17,115,30,2927.68,1.457,49.18,1439.78,11.07,324.23,12.85,376.23,0,0,11.47,335.76,3.01,88.04,8.46,247.71,0.38,11.08,1063.56,36.33,38.97,1141.06,0.2332,0.0077,2.8269,2.2705,28.2759,1.8251,0.6166,,,4,48,48,Silty Clay,
247952,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7543,39.5099,E3,E3_C ,Fall,11/27/2023,0,8,5.4,6.2,0.15,NONE,5,95,7.3,1.32,72.1,17,0.85,1599,269,9,18.3,43,1,44,12,0,32,10.2,148,13.4,11.04,,56,26,0.4,111.4,70,24,15.18,75.5,13.4,0,15.8,3.3,,18,5.5,12.5,66,556,142,72,7.4,0.83,7.4,0.82,116,20,2244.37,1.477,48.79,1095.11,11.34,254.62,12.22,274.3,0,0,10.78,241.95,2.89,64.85,7.89,177.1,0.93,20.9,820.81,36.57,39.49,886.4,0.2209,0.0191,2.9924,2.2454,12.4948,1.9747,0.5905,,,6,50,44,Silty Clay,
247953,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5087,E3,E3_D ,Fall,11/27/2023,0,8,5.7,6.3,0.11,NONE,4.5,91,4.3,0.79,55.7,7.6,0.67,2351,394,20,22.1,30,1,53,15,0,16,5.63,120,9.7,12.37,,44,15,0.01,119.7,59,15.4,14.88,100,9.7,0,9.3,2,,15,3.9,11.1,47,642,124,63,7,0.61,3.8,0.19,133,28,1901.73,1.452,49.97,950.27,11.6,220.67,13.87,263.71,0,0,11.97,227.62,3.64,69.24,8.33,158.38,0,0,686.56,36.1,38.06,723.84,0.2395,ALL PREY,2.6035,2.2729,ALL MONO,2.3203,0.6129,,,10,50,40,Silty Clay,
247954,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7554,39.5087,E3,E3_E ,Fall,11/27/2023,0,8,5.4,6.2,0.15,NONE,4.8,112,5.7,0.8,64.1,16.4,0.81,2093,362,15,22.3,38,1,47,14,0,20,8.88,127,10,12.7,,60,34,1.7,111.6,73,20.6,14.45,87.8,10,0,15.2,4.4,,16,4.5,11.5,71,561,169,84,7.3,0.61,6.8,0.12,122,23,1584.44,1.338,47.4,750.95,10.11,160.18,12.82,203.05,0,0,9.14,144.88,0.56,8.84,8.59,136.03,0,0,547.9,34.58,43.46,688.61,0.1929,ALL PREY,2.6983,2.2457,18.2327,ALL PRE 16:1,0.6438,,,10,46,44,Silty Clay,
247955,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7543,39.5087,E3,E3_F ,Fall,11/27/2023,0,8,5.4,6.2,0.1,NONE,4,73,6.2,1.15,56.9,12.6,0.68,1792,305,31,20.3,42,1,43,13,1,21,5.78,124,9.8,12.65,,48,SAND PRESENT,0.01,98.1,69,15.6,13.3,79.4,9.8,0,9.1,2.4,,15,4.8,10.2,67,517,158,80,6.8,0.81,5.8,0.12,109,37,1923.01,1.468,46.58,895.65,11.26,216.45,11.7,224.91,0,0,11.25,216.4,2.8,53.84,8.45,162.56,0.43,8.34,670.74,34.88,41.74,802.61,0.2416,0.0093,2.9822,2.3521,22.4321,1.804,0.6079,,,12,44,44,Silty Clay,
247956,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7566,39.5076,E3,E3_G ,Fall,11/27/2023,0,8,6,6.6,0.13,NONE,3.9,107,4.7,0.75,40.8,5.8,0.77,2518,374,17,20.1,20,1,63,16,0,13,4.95,148,12.8,11.56,,55,8,0.01,133.1,75,17.8,16.73,89.8,12.8,0,9.6,2.3,,14,3.8,10.2,90,688,147,62,7.7,0.65,2.9,0.1,131,25,1789.44,1.487,49.9,892.84,11.33,202.81,14.49,259.27,0,0,11.52,206.22,3.81,68.12,7.72,138.11,0.48,8.61,633.57,35.41,38.1,681.76,0.231,0.0096,2.4437,2.1408,21.9406,2.5021,0.7053,,,10,46,44,Silty Clay,
247957,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7554,39.5076,E3,E3_H ,Fall,11/27/2023,0,8,5.5,6.2,0.13,NONE,4.1,113,5.3,1.52,54.8,10.5,0.86,2498,413,16,24.2,33,1,52,14,0,17,5.34,149,12.5,11.92,,54,SAND PRESENT,0.01,118.5,83,17.8,15.65,79.6,12.5,0,11.1,2.3,,16,4.5,11.5,60,584,170,81,6.7,0.97,3.9,0.1,125,23,2303.44,1.426,47.35,1090.61,10.65,245.3,11.96,275.59,0,0,11.2,257.99,2.97,68.48,8.23,189.52,0,0,815.03,35.38,41.45,954.83,0.2366,ALL PREY,2.9574,2.4106,19.3474,2.1471,0.5327,,,6,48,46,Silty Clay,
247958,Corn,,No-Till,,No Cover Crop,Low Crop Diversity,,,,-95.7543,39.5076,E3,E3_I ,Fall,11/27/2023,0,8,5.5,6.4,0.1,NONE,3.4,72,6.1,2.66,68.7,15.4,0.94,1686,238,16,16.8,36,1,50,12,0,24,4.99,151,10.4,14.52,,51,9,0.8,107,69,16.1,14.61,70.9,10.4,0,8.3,2.8,,21,8.1,12.9,40,551,129,75,6.5,2.49,6.5,0.24,100,24,1921.03,1.46,43.92,843.77,10.06,193.29,11.48,220.44,0,0,9.06,174.07,2.63,50.43,6.44,123.63,0.57,11,623.33,32.45,46.44,892.2,0.2063,0.013,2.8276,2.6338,14.8806,1.8538,0.5667,,,12,52,36,Silty Clay Loam,
247970,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6687,39.3895,S2,S2_A ,Fall,11/27/2023,0,8,6.1,6.6,0.15,NONE,4.8,84,5.3,1.03,71.9,6.8,0.59,1930,276,20,16.2,25,1,59,14,1,8,7.26,160,13,12.31,,46,2,0.2,271.1,66,20.5,24.69,170,13,0,9.8,2.7,,12,1.9,10.1,57,723,98,81,9.5,0.82,4.4,0.28,131,30,1763.33,1.446,51.92,915.58,14.48,255.24,13.84,244.09,0,0,10.46,184.43,3.42,60.31,7.04,124.12,0,0,671.48,38.08,37.62,663.32,0.2014,ALL PREY,2.7509,2.5338,25.1389,1.9816,0.5783,,,10,56,34,Silty Clay Loam,
247971,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6677,39.3895,S2,S2_B ,Fall,11/27/2023,0,8,6.3,6.5,0.14,NONE,4,81,5.6,0.75,39.4,4.8,0.6,2195,372,28,19.6,27,1,55,16,1,7,6.14,172,12.3,13.98,,50,SAND PRESENT,0.7,228.4,74,19.2,22.85,132.8,12.3,0,8,3.8,,12,2,10,47,721,141,68,8.9,0.75,3.6,0.28,156,41,2097.31,1.561,45.87,962.07,11.12,233.2,13.71,287.54,0,0,10.66,223.48,3.35,70.29,7.3,153.19,1.96,41.18,674.53,32.16,41.51,870.59,0.2323,0.0428,2.3459,2.0185,16.5122,2.1725,0.7701,,,10,48,42,Silty Clay,
247973,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6667,39.3895,S2,S2_C ,Fall,11/27/2023,0,8,5.9,6.3,0.13,NONE,4.2,86,4.8,0.39,49.7,7.6,0.81,2359,419,27,22.4,30,1,52,16,1,8,4.04,162,12.1,13.39,,57,17,0.01,144,74,16.2,17.68,89.1,12.1,0,5.8,2,,10,1.9,8.1,39,623,135,72,7.4,0.47,3.3,0.94,139,37,1436.84,1.403,51.12,734.55,13.7,196.81,11.98,172.17,0,0,8.95,128.6,3.19,45.87,5.76,82.73,0,0,562.39,39.14,39.93,573.68,0.1751,ALL PREY,3.2665,2.7191,16.7727,1.5484,0.5177,,,2,54,44,Silty Clay,
247974,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6687,39.3885,S2,S2_D ,Fall,11/27/2023,0,8,5.9,6.6,0.14,NONE,4.3,79,6.7,0.8,78.6,7.8,0.68,1834,264,21,16.1,27,1,57,14,1,10,7.15,172,14.6,11.78,,39,SAND PRESENT,0.7,216.5,67,22.4,22.46,125.9,14.6,0,11.9,2.6,,12,1.9,10.1,49,695,110,89,8.9,0.77,5,0.5,130,29,2267.02,1.509,53.5,1212.88,13.74,311.42,14.91,338.07,0,0,12.15,275.48,3.55,80.58,8.6,194.89,0.93,21.11,874.81,38.59,33.42,757.56,0.2271,0.0174,2.5877,2.224,16.8952,2.273,0.6796,,,12,52,36,Silty Clay Loam,
247975,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6677,39.3885,S2,S2_E ,Fall,11/27/2023,0,8,6,6.5,0.09,NONE,3.5,72,4.4,0.3,40.8,4.5,0.6,2051,326,31,18,26,1,57,15,1,8,4.15,152,11.8,12.88,,44,SAND PRESENT,0.01,155.1,70,15.9,18.19,101.8,11.8,0,6.1,2.6,,9,1.5,7.5,42,658,155,73,7.4,0.47,3,0.12,135,41,894.81,1.399,50.7,453.71,12.28,109.91,12.42,111.1,0,0,9.88,88.44,2.48,22.15,7.41,66.29,0,0,342.61,38.29,39.41,352.66,0.1949,ALL PREY,3.0838,2.5111,14.9335,1.5282,0.4984,,,8,52,40,Silty Clay,
247976,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6667,39.3885,S2,S2_F ,Fall,11/27/2023,0,8,6,6.6,0.13,NONE,4.1,83,5.9,0.39,47.2,5.7,0.64,2238,402,36,18.9,21,1,59,18,1,7,4.35,184,13.7,13.43,,55,5,0.1,210.8,75,18.2,22.3,114.7,13.7,0,7.2,2.5,,11,1.9,9.1,44,647,144,74,7.8,0.48,3.3,0.15,148,49,1380.51,1.407,49.33,680.94,12.71,175.41,11.52,159.04,0,0,9.15,126.32,3.24,44.77,5.91,81.56,0,0,521.9,37.8,41.52,573.24,0.1855,ALL PREY,3.2814,2.5939,16.0597,1.9581,0.5393,,,6,50,44,Silty Clay,
247977,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6684,39.3875,S2,S2_G ,Fall,11/27/2023,0,8,5.5,6.4,0.13,NONE,4.2,104,6.5,0.72,72.7,9.9,0.92,2190,335,17,20.4,31,1,54,14,0,14,6.16,162,13,12.46,,59,15,0.5,195,77,19.6,20.92,120.7,13,0,9.9,2.9,,13,2.5,10.5,66,666,146,95,8.4,0.65,4.9,0.74,135,28,2301.37,1.406,48.62,1118.92,11.4,262.35,10.39,239.22,0,0,8.58,197.37,2.97,68.46,5.6,128.91,0.5,11.52,879.71,38.23,42.3,973.54,0.1764,0.0103,3.6774,2.9086,14.3496,1.9327,0.4613,,,6,50,44,Silty Clay,
247978,Soybeans,,No-Till,,Cover Crop,Low Crop Diversity,,,,-95.6674,39.3875,S2,S2_H,Fall,11/27/2023,0,8,6.1,6.6,0.09,NONE,4.2,104,5.2,0.83,54.1,7.5,0.76,2557,413,31,20.7,20,1,61,17,1,10,3.78,175,13.2,13.26,,55,16,0.01,136.7,72,17.1,17.55,78.2,13.2,0,6.1,2.3,,9,1.7,7.3,45,648,136,68,6.9,0.43,3.2,0.1,135,37,2060.71,1.394,53.3,1098.46,12.99,267.6,11.33,233.41,0,0,8.66,178.45,2.87,59.21,5.79,119.25,0.52,10.76,865.04,41.98,37.51,773.03,0.1625,0.0098,3.706,2.8923,19.5629,2.0035,0.506,,,4,52,44,Silty Clay,
